coin	hourly	change	granular	time_stamp
Shiba Inu	0.4	positive	luke warm (0-2%)	2021-06-27T10:30:07Z
cUSDC	0.1	positive	luke warm (0-2%)	2021-06-27T10:30:07Z
Monero	-0.5	negative	chilly (-0-2%)	2021-06-27T10:30:07Z
EOS	0.4	positive	luke warm (0-2%)	2021-06-27T10:30:07Z
Amp	-1.4	negative	chilly (-0-2%)	2021-06-27T10:30:07Z
cDAI	0.1	positive	luke warm (0-2%)	2021-06-27T10:30:07Z
OKB	0.5	positive	luke warm (0-2%)	2021-06-27T10:30:07Z
Crypto.com Coin	0	negative	neutral (0%)	2021-06-27T10:30:07Z
Aave	-0.7	negative	chilly (-0-2%)	2021-06-27T10:30:07Z
Algorand	0.6	positive	luke warm (0-2%)	2021-06-27T10:30:07Z
Bitcoin SV	0.3	positive	luke warm (0-2%)	2021-06-27T10:30:07Z
Klaytn	0	negative	neutral (0%)	2021-06-27T10:30:07Z
PancakeSwap	-0.2	negative	chilly (-0-2%)	2021-06-27T10:30:07Z
Cosmos	0.8	positive	luke warm (0-2%)	2021-06-27T10:30:07Z
NEO	-0.2	negative	chilly (-0-2%)	2021-06-27T10:30:07Z
Theta Fuel	-1.4	negative	chilly (-0-2%)	2021-06-27T10:30:07Z
Terra	0.6	positive	luke warm (0-2%)	2021-06-27T10:30:07Z
cETH	-0.9	negative	chilly (-0-2%)	2021-06-27T10:30:07Z
IOTA	-1	negative	chilly (-0-2%)	2021-06-27T10:30:07Z
Tezos	-0.3	negative	chilly (-0-2%)	2021-06-27T10:30:07Z
Celsius Network	2.2	positive	warm (2-4%)	2021-06-27T10:30:07Z
LEO Token	-2.5	negative	cold (-2-4%)	2021-06-27T10:30:07Z
FTX Token	-0.3	negative	chilly (-0-2%)	2021-06-27T10:30:07Z
TerraUSD	1.3	positive	luke warm (0-2%)	2021-06-27T10:30:07Z
Maker	-0.6	negative	chilly (-0-2%)	2021-06-27T10:30:07Z
