coin	hourly	change	granular	time_stamp
Theta Network	-0.1	negative	chilly (-0-2%)	2021-06-26T21:45:11Z
Wrapped Bitcoin	-0.3	negative	chilly (-0-2%)	2021-06-26T21:45:11Z
Stellar	-0.2	negative	chilly (-0-2%)	2021-06-26T21:45:11Z
Ethereum Classic	-0.3	negative	chilly (-0-2%)	2021-06-26T21:45:11Z
Dai	-0.1	negative	chilly (-0-2%)	2021-06-26T21:45:11Z
VeChain	-0.9	negative	chilly (-0-2%)	2021-06-26T21:45:11Z
TRON	-0.6	negative	chilly (-0-2%)	2021-06-26T21:45:11Z
Filecoin	0.6	positive	luke warm (0-2%)	2021-06-26T21:45:11Z
Internet Computer	-1.3	negative	chilly (-0-2%)	2021-06-26T21:45:11Z
Shiba Inu	0.2	positive	luke warm (0-2%)	2021-06-26T21:45:11Z
cUSDC	-0.5	negative	chilly (-0-2%)	2021-06-26T21:45:11Z
Monero	-0.7	negative	chilly (-0-2%)	2021-06-26T21:45:11Z
EOS	-0.2	negative	chilly (-0-2%)	2021-06-26T21:45:11Z
cDAI	-0.4	negative	chilly (-0-2%)	2021-06-26T21:45:11Z
Amp	-1.6	negative	chilly (-0-2%)	2021-06-26T21:45:11Z
OKB	-0.6	negative	chilly (-0-2%)	2021-06-26T21:45:11Z
Algorand	-0.2	negative	chilly (-0-2%)	2021-06-26T21:45:11Z
Crypto.com Coin	-0	negative	neutral (0%)	2021-06-26T21:45:11Z
Klaytn	0.3	positive	luke warm (0-2%)	2021-06-26T21:45:11Z
Bitcoin SV	-0.2	negative	chilly (-0-2%)	2021-06-26T21:45:11Z
Aave	-0.1	negative	chilly (-0-2%)	2021-06-26T21:45:11Z
PancakeSwap	-0.2	negative	chilly (-0-2%)	2021-06-26T21:45:11Z
Theta Fuel	0.5	positive	luke warm (0-2%)	2021-06-26T21:45:11Z
Celsius Network	-0.7	negative	chilly (-0-2%)	2021-06-26T21:45:11Z
Cosmos	-0.2	negative	chilly (-0-2%)	2021-06-26T21:45:11Z
NEO	-0.1	negative	chilly (-0-2%)	2021-06-26T21:45:11Z
